TimeUS,source_file
20861560.0,69 01-01-1980 05-30-00.log
21061448.0,69 01-01-1980 05-30-00.log
21261450.0,69 01-01-1980 05-30-00.log
21461465.0,69 01-01-1980 05-30-00.log
21661452.0,69 01-01-1980 05-30-00.log
21861610.0,69 01-01-1980 05-30-00.log
22061445.0,69 01-01-1980 05-30-00.log
22261423.0,69 01-01-1980 05-30-00.log
22461462.0,69 01-01-1980 05-30-00.log
22661463.0,69 01-01-1980 05-30-00.log
22861557.0,69 01-01-1980 05-30-00.log
23061457.0,69 01-01-1980 05-30-00.log
23261486.0,69 01-01-1980 05-30-00.log
23461480.0,69 01-01-1980 05-30-00.log
23661462.0,69 01-01-1980 05-30-00.log
23861613.0,69 01-01-1980 05-30-00.log
24061414.0,69 01-01-1980 05-30-00.log
24261427.0,69 01-01-1980 05-30-00.log
24461470.0,69 01-01-1980 05-30-00.log
24661443.0,69 01-01-1980 05-30-00.log
24861576.0,69 01-01-1980 05-30-00.log
25061472.0,69 01-01-1980 05-30-00.log
25261473.0,69 01-01-1980 05-30-00.log
25461423.0,69 01-01-1980 05-30-00.log
25661449.0,69 01-01-1980 05-30-00.log
25861557.0,69 01-01-1980 05-30-00.log
26061455.0,69 01-01-1980 05-30-00.log
26261470.0,69 01-01-1980 05-30-00.log
26461421.0,69 01-01-1980 05-30-00.log
26661443.0,69 01-01-1980 05-30-00.log
26861623.0,69 01-01-1980 05-30-00.log
27061463.0,69 01-01-1980 05-30-00.log
27261447.0,69 01-01-1980 05-30-00.log
27461424.0,69 01-01-1980 05-30-00.log
27661459.0,69 01-01-1980 05-30-00.log
27861612.0,69 01-01-1980 05-30-00.log
28061449.0,69 01-01-1980 05-30-00.log
28261459.0,69 01-01-1980 05-30-00.log
28461456.0,69 01-01-1980 05-30-00.log
28661441.0,69 01-01-1980 05-30-00.log
28861617.0,69 01-01-1980 05-30-00.log
29061470.0,69 01-01-1980 05-30-00.log
29261451.0,69 01-01-1980 05-30-00.log
29461427.0,69 01-01-1980 05-30-00.log
29661445.0,69 01-01-1980 05-30-00.log
29861618.0,69 01-01-1980 05-30-00.log
30061504.0,69 01-01-1980 05-30-00.log
30261447.0,69 01-01-1980 05-30-00.log
30461466.0,69 01-01-1980 05-30-00.log
30661462.0,69 01-01-1980 05-30-00.log
30861521.0,69 01-01-1980 05-30-00.log
31061427.0,69 01-01-1980 05-30-00.log
31261441.0,69 01-01-1980 05-30-00.log
31461426.0,69 01-01-1980 05-30-00.log
31661425.0,69 01-01-1980 05-30-00.log
31861546.0,69 01-01-1980 05-30-00.log
32061438.0,69 01-01-1980 05-30-00.log
32261462.0,69 01-01-1980 05-30-00.log
32461424.0,69 01-01-1980 05-30-00.log
32661432.0,69 01-01-1980 05-30-00.log
32861533.0,69 01-01-1980 05-30-00.log
33061392.0,69 01-01-1980 05-30-00.log
33261453.0,69 01-01-1980 05-30-00.log
33461439.0,69 01-01-1980 05-30-00.log
33661440.0,69 01-01-1980 05-30-00.log
33861580.0,69 01-01-1980 05-30-00.log
34061464.0,69 01-01-1980 05-30-00.log
34261451.0,69 01-01-1980 05-30-00.log
34461433.0,69 01-01-1980 05-30-00.log
34661445.0,69 01-01-1980 05-30-00.log
34861546.0,69 01-01-1980 05-30-00.log
35061441.0,69 01-01-1980 05-30-00.log
35261438.0,69 01-01-1980 05-30-00.log
35461439.0,69 01-01-1980 05-30-00.log
35661444.0,69 01-01-1980 05-30-00.log
35861618.0,69 01-01-1980 05-30-00.log
36061454.0,69 01-01-1980 05-30-00.log
36261439.0,69 01-01-1980 05-30-00.log
36461449.0,69 01-01-1980 05-30-00.log
36661433.0,69 01-01-1980 05-30-00.log
36861548.0,69 01-01-1980 05-30-00.log
37061445.0,69 01-01-1980 05-30-00.log
37261438.0,69 01-01-1980 05-30-00.log
37461419.0,69 01-01-1980 05-30-00.log
37661422.0,69 01-01-1980 05-30-00.log
37861557.0,69 01-01-1980 05-30-00.log
38061438.0,69 01-01-1980 05-30-00.log
38261435.0,69 01-01-1980 05-30-00.log
38461428.0,69 01-01-1980 05-30-00.log
38661410.0,69 01-01-1980 05-30-00.log
38861523.0,69 01-01-1980 05-30-00.log
39061466.0,69 01-01-1980 05-30-00.log
39261426.0,69 01-01-1980 05-30-00.log
39461466.0,69 01-01-1980 05-30-00.log
39661443.0,69 01-01-1980 05-30-00.log
39861554.0,69 01-01-1980 05-30-00.log
40061398.0,69 01-01-1980 05-30-00.log
40261430.0,69 01-01-1980 05-30-00.log
40461454.0,69 01-01-1980 05-30-00.log
40661439.0,69 01-01-1980 05-30-00.log
40861611.0,69 01-01-1980 05-30-00.log
41061405.0,69 01-01-1980 05-30-00.log
41261475.0,69 01-01-1980 05-30-00.log
41461456.0,69 01-01-1980 05-30-00.log
41661429.0,69 01-01-1980 05-30-00.log
41861547.0,69 01-01-1980 05-30-00.log
42061405.0,69 01-01-1980 05-30-00.log
42261451.0,69 01-01-1980 05-30-00.log
42461423.0,69 01-01-1980 05-30-00.log
42661442.0,69 01-01-1980 05-30-00.log
42861598.0,69 01-01-1980 05-30-00.log
43061442.0,69 01-01-1980 05-30-00.log
43261464.0,69 01-01-1980 05-30-00.log
43461438.0,69 01-01-1980 05-30-00.log
43661447.0,69 01-01-1980 05-30-00.log
43861514.0,69 01-01-1980 05-30-00.log
44061404.0,69 01-01-1980 05-30-00.log
44261451.0,69 01-01-1980 05-30-00.log
44461438.0,69 01-01-1980 05-30-00.log
44661472.0,69 01-01-1980 05-30-00.log
44861582.0,69 01-01-1980 05-30-00.log
56061481.0,69 01-01-1980 05-30-00.log
56261446.0,69 01-01-1980 05-30-00.log
56461459.0,69 01-01-1980 05-30-00.log
56661454.0,69 01-01-1980 05-30-00.log
56861575.0,69 01-01-1980 05-30-00.log
57061451.0,69 01-01-1980 05-30-00.log
57261465.0,69 01-01-1980 05-30-00.log
57461477.0,69 01-01-1980 05-30-00.log
57661445.0,69 01-01-1980 05-30-00.log
57861528.0,69 01-01-1980 05-30-00.log
58061462.0,69 01-01-1980 05-30-00.log
58261452.0,69 01-01-1980 05-30-00.log
58461458.0,69 01-01-1980 05-30-00.log
58661452.0,69 01-01-1980 05-30-00.log
58861593.0,69 01-01-1980 05-30-00.log
59061473.0,69 01-01-1980 05-30-00.log
59261481.0,69 01-01-1980 05-30-00.log
59461476.0,69 01-01-1980 05-30-00.log
59661466.0,69 01-01-1980 05-30-00.log
59861612.0,69 01-01-1980 05-30-00.log
60061469.0,69 01-01-1980 05-30-00.log
60261453.0,69 01-01-1980 05-30-00.log
60461455.0,69 01-01-1980 05-30-00.log
60661459.0,69 01-01-1980 05-30-00.log
60861624.0,69 01-01-1980 05-30-00.log
61061488.0,69 01-01-1980 05-30-00.log
61261460.0,69 01-01-1980 05-30-00.log
61461466.0,69 01-01-1980 05-30-00.log
61661433.0,69 01-01-1980 05-30-00.log
61861585.0,69 01-01-1980 05-30-00.log
62061455.0,69 01-01-1980 05-30-00.log
62261436.0,69 01-01-1980 05-30-00.log
62461457.0,69 01-01-1980 05-30-00.log
62661468.0,69 01-01-1980 05-30-00.log
62861594.0,69 01-01-1980 05-30-00.log
63061477.0,69 01-01-1980 05-30-00.log
63261448.0,69 01-01-1980 05-30-00.log
63461455.0,69 01-01-1980 05-30-00.log
63661452.0,69 01-01-1980 05-30-00.log
63861538.0,69 01-01-1980 05-30-00.log
64061453.0,69 01-01-1980 05-30-00.log
64261429.0,69 01-01-1980 05-30-00.log
64461452.0,69 01-01-1980 05-30-00.log
64661471.0,69 01-01-1980 05-30-00.log
64861603.0,69 01-01-1980 05-30-00.log
65061426.0,69 01-01-1980 05-30-00.log
65261452.0,69 01-01-1980 05-30-00.log
65461431.0,69 01-01-1980 05-30-00.log
65661433.0,69 01-01-1980 05-30-00.log
65861581.0,69 01-01-1980 05-30-00.log
66061412.0,69 01-01-1980 05-30-00.log
66261437.0,69 01-01-1980 05-30-00.log
66461462.0,69 01-01-1980 05-30-00.log
66661456.0,69 01-01-1980 05-30-00.log
66861585.0,69 01-01-1980 05-30-00.log
67061450.0,69 01-01-1980 05-30-00.log
67261469.0,69 01-01-1980 05-30-00.log
67461450.0,69 01-01-1980 05-30-00.log
67661449.0,69 01-01-1980 05-30-00.log
67861600.0,69 01-01-1980 05-30-00.log
68061440.0,69 01-01-1980 05-30-00.log
22470950.0,1 01-01-1980 05-30-00.log
22650507.0,1 01-01-1980 05-30-00.log
22850575.0,1 01-01-1980 05-30-00.log
23050501.0,1 01-01-1980 05-30-00.log
23250520.0,1 01-01-1980 05-30-00.log
23470902.0,1 01-01-1980 05-30-00.log
23650520.0,1 01-01-1980 05-30-00.log
23850558.0,1 01-01-1980 05-30-00.log
24050562.0,1 01-01-1980 05-30-00.log
24250510.0,1 01-01-1980 05-30-00.log
24470990.0,1 01-01-1980 05-30-00.log
24650509.0,1 01-01-1980 05-30-00.log
24850541.0,1 01-01-1980 05-30-00.log
25050532.0,1 01-01-1980 05-30-00.log
25250524.0,1 01-01-1980 05-30-00.log
25470928.0,1 01-01-1980 05-30-00.log
25650519.0,1 01-01-1980 05-30-00.log
25850558.0,1 01-01-1980 05-30-00.log
26050506.0,1 01-01-1980 05-30-00.log
26250509.0,1 01-01-1980 05-30-00.log
26470950.0,1 01-01-1980 05-30-00.log
26650509.0,1 01-01-1980 05-30-00.log
26850611.0,1 01-01-1980 05-30-00.log
27050511.0,1 01-01-1980 05-30-00.log
27250480.0,1 01-01-1980 05-30-00.log
27470906.0,1 01-01-1980 05-30-00.log
27650514.0,1 01-01-1980 05-30-00.log
27850558.0,1 01-01-1980 05-30-00.log
28050501.0,1 01-01-1980 05-30-00.log
28250519.0,1 01-01-1980 05-30-00.log
28470973.0,1 01-01-1980 05-30-00.log
28650517.0,1 01-01-1980 05-30-00.log
28850598.0,1 01-01-1980 05-30-00.log
29050520.0,1 01-01-1980 05-30-00.log
29250522.0,1 01-01-1980 05-30-00.log
29470958.0,1 01-01-1980 05-30-00.log
29650542.0,1 01-01-1980 05-30-00.log
29870992.0,1 01-01-1980 05-30-00.log
30050523.0,1 01-01-1980 05-30-00.log
30250509.0,1 01-01-1980 05-30-00.log
30470954.0,1 01-01-1980 05-30-00.log
30650579.0,1 01-01-1980 05-30-00.log
30850585.0,1 01-01-1980 05-30-00.log
