TimeUS,GPS_Lat,GPS_Lng,GPS_Alt,GPS_Spd,IMU_GyrX,IMU_GyrY,IMU_GyrZ,IMU_AccX,IMU_AccY,IMU_AccZ,BARO_Press,BARO_Temp,ATT_Roll,ATT_Pitch,ATT_Yaw,AHR2_Roll,AHR2_Pitch,AHR2_Yaw,XKF1_VN,XKF1_VE,XKF1_VD,XKF1_PN,XKF1_PE,XKF1_PD,XKF3_IVN,XKF3_IVE,XKF3_IVD,MAG_MagX,MAG_MagY,MAG_MagZ,VIBE_VibeX,VIBE_VibeY,VIBE_VibeZ
352587096,0.0,0.0,-17.0,0.0,-0.01397009,-0.01652713,0.00487193,-0.2241618,0.06650378,-9.802971,93671.12765081902,34.90404364762285,-0.24703078106866877,-0.433393829769773,229.56902007547774,-0.25,-0.43,229.20392989188002,0.005808275949527982,-0.0021405089848593943,-0.006255369517270691,0.0,0.0,-0.09387372584543383,0.0,0.0,0.0,-72.45122937318439,254.36314176474698,224.27371647050603,0.08851381341087596,0.0628635431302836,0.05032762610827987
352626732,0.0,0.0,-17.0,0.0,-0.001614455,-0.001557902,-0.003381943,-0.248687,-0.07012859,-9.812787,93671.09598002398,34.908002497003594,-0.24680522127553364,-0.4343800009284958,229.56197627842894,-0.25,-0.43,229.18808721546057,7.360401997080074e-05,-0.005303836439317573,-0.006315925045771831,0.0,0.0,-0.058373559081963275,0.0,0.0,0.0,-168.60037135755144,236.16206961955817,260.67586076088367,0.08746373309311109,0.042308359632471974,0.027326321489297915
352626732,0.0,0.0,-17.0,0.0,-0.01381474,-0.01618765,-0.002181402,-0.2974139,0.1048991,-9.815835,93671.09598002398,34.908002497003594,-0.24680522127553364,-0.4343800009284958,229.56197627842894,-0.25,-0.43,229.18808721546057,7.360401997080074e-05,-0.005303836439317573,-0.006315925045771831,0.0,0.0,-0.058373559081963275,0.0,0.0,0.0,-168.60037135755144,236.16206961955817,260.67586076088367,0.08746373309311109,0.042308359632471974,0.027326321489297915
352666590,0.0,0.0,-17.0,0.0,-0.01414549,-0.01556242,-0.004281562,-0.2639244,0.06791172,-9.808315,93671.03624982476,34.91,-0.2461687574509018,-0.4347497200240481,229.55652151302607,-0.25,-0.43,229.1741032420901,0.009293761088064775,0.0008815721001599361,-0.0061366555295881645,0.0,0.0,-0.02888783329768093,0.0,0.0,0.0,-23.83660615042608,265.6280103742127,204.54131159688774,0.10183040754096391,0.061006896495332724,0.061230458579383834
352666590,0.0,0.0,-17.0,0.0,-0.003118037,-0.001303222,-0.005164744,-0.1407067,-0.1238888,-9.801355,93671.03624982476,34.91,-0.2461687574509018,-0.4347497200240481,229.55652151302607,-0.25,-0.43,229.1741032420901,0.009293761088064775,0.0008815721001599361,-0.0061366555295881645,0.0,0.0,-0.02888783329768093,0.0,0.0,0.0,-23.83660615042608,265.6280103742127,204.54131159688774,0.10183040754096391,0.061006896495332724,0.061230458579383834
352706524,0.0,0.0,-17.0,0.0,-0.001723352,0.0009649908,0.004564852,-0.1753363,-0.05329569,-9.808617,93670.9482736176,34.91,-0.24511254716633266,-0.4344846671022044,229.55272018036072,-0.25,-0.43,229.16210420359965,0.003078190466753299,-0.0034421049129548177,-0.005950731703358657,0.0,0.0,-0.004978280887844862,0.0,0.0,0.0,-121.8091285060533,248.8327208275337,239.73144207564363,0.08538831777472858,0.042225437620287645,0.03789235847982853
352706524,0.0,0.0,-17.0,0.0,-0.0157802,-0.01533882,0.005365029,-0.2534516,0.1082919,-9.819236,93670.9482736176,34.91,-0.24511254716633266,-0.4344846671022044,229.55272018036072,-0.25,-0.43,229.16210420359965,0.003078190466753299,-0.0034421049129548177,-0.005950731703358657,0.0,0.0,-0.004978280887844862,0.0,0.0,0.0,-121.8091285060533,248.8327208275337,239.73144207564363,0.08538831777472858,0.042225437620287645,0.03789235847982853
352746856,0.0,0.0,-17.0,0.0,-0.01448587,-0.0165601,-0.002473843,-0.3750783,0.084415,-9.801307,93670.8623087666,34.91,-0.24405401753955427,-0.43421940652221624,229.54885211587958,-0.25,-0.43,229.14997605674552,0.013102776081892756,0.002739086855072029,-0.006167186141066427,0.0,0.0,0.018688004269807924,0.0,0.0,0.0,24.25353378054624,273.87353258265455,184.2776114039291,0.0970513598500763,0.0677640629284496,0.07483577073076578
352746856,0.0,0.0,-17.0,0.0,-0.001563287,-0.001911776,-0.0003004763,-0.2977608,-0.08505397,-9.797498,93670.8623087666,34.91,-0.24405401753955427,-0.43421940652221624,229.54885211587958,-0.25,-0.43,229.14997605674552,0.013102776081892756,0.002739086855072029,-0.006167186141066427,0.0,0.0,0.018688004269807924,0.0,0.0,0.0,24.25353378054624,273.87353258265455,184.2776114039291,0.0970513598500763,0.0677640629284496,0.07483577073076578
352787111,0.0,0.0,-17.0,0.0,-0.01491395,-0.01653588,-0.003927408,-0.1508489,0.06766076,-9.80807,93671.21569051515,34.91,-0.2446412453133417,-0.43444212178128927,229.5392142395403,-0.25,-0.43,229.12989614613366,0.0063375302858743494,-0.0018676086009603837,-0.006083269608003201,0.0,0.0,0.03453710573589436,0.0,0.0,0.0,-72.99241335249961,257.39797955598146,220.4434595112602,0.08651763289573171,0.051802795413911085,0.05260769945167629
