TimeUS,IMU_GyrX,IMU_GyrY,IMU_GyrZ,IMU_AccX,IMU_AccY,IMU_AccZ,BARO_Press,BARO_Temp,ATT_Roll,ATT_Pitch,ATT_Yaw,AHR2_Roll,AHR2_Pitch,AHR2_Yaw,XKF1_VN,XKF1_VE,XKF1_VD,XKF1_PN,XKF1_PE,XKF1_PD,XKF3_IVN,XKF3_IVE,XKF3_IVD,MAG_MagX,MAG_MagY,MAG_MagZ,VIBE_VibeX,VIBE_VibeY,VIBE_VibeZ
69548109,-0.0008279923,-0.0005672105,0.0008246201,-2.004117,-0.6591983,-9.485636,93537.6379878366,38.82,3.5695382965971967,-10.930301908711616,183.35079449308134,3.95,-12.48,182.88998399535865,-0.008244320670339034,-0.0015366554850285029,0.001132691888148815,0.0,0.0,0.008312874846964696,0.0,0.0,0.0,-92.00502266201086,20.010045324021732,236.97990935195654,0.05645843133597486,0.03803030498739268,0.06572897319825499
69548109,-0.002831736,-0.007913076,-0.001646625,-1.860434,-0.6057748,-9.480965,93537.6379878366,38.82,3.5695382965971967,-10.930301908711616,183.35079449308134,3.95,-12.48,182.88998399535865,-0.008244320670339034,-0.0015366554850285029,0.001132691888148815,0.0,0.0,0.008312874846964696,0.0,0.0,0.0,-92.00502266201086,20.010045324021732,236.97990935195654,0.05645843133597486,0.03803030498739268,0.06572897319825499
69587605,-0.002740433,-0.007738597,-0.001170597,-1.856613,-0.6047927,-9.479983,93537.4523046453,38.82,3.5691130942799685,-10.931669194973335,183.35016222197766,3.95,-12.48,182.8860332496424,-0.004739487460786078,0.00023716402940294036,3.7679804380438007e-05,0.0,0.0,0.009819004780278027,0.0,0.0,0.0,-92.40019210181396,20.800384203627925,235.39923159274414,0.03848286284545036,0.02655670987398691,0.04371457888795501
69587605,-0.0008764007,-0.001847412,-0.001082151,-2.001081,-0.6795018,-9.475501,93537.4523046453,38.82,3.5691130942799685,-10.931669194973335,183.35016222197766,3.95,-12.48,182.8860332496424,-0.004739487460786078,0.00023716402940294036,3.7679804380438007e-05,0.0,0.0,0.009819004780278027,0.0,0.0,0.0,-92.40019210181396,20.800384203627925,235.39923159274414,0.03848286284545036,0.02655670987398691,0.04371457888795501
69627830,-0.003211527,-0.009007837,-0.0006982967,-1.862639,-0.6034425,-9.483783,93537.26319419437,38.82,3.5686800437631945,-10.933061718010546,183.34951828068876,3.95,-12.48,182.882009582779,-0.0011699635633213318,0.00204372393339334,-0.0010775435364536454,0.0,0.0,0.011352934205220521,0.0,0.0,0.0,-92.8026554073659,21.60531081473181,233.78937837053638,0.020175509125292673,0.014871340129284982,0.021293852456624844
69627830,-0.002016654,-0.004146843,0.0001386598,-1.998953,-0.6681324,-9.489747,93537.26319419437,38.82,3.5686800437631945,-10.933061718010546,183.34951828068876,3.95,-12.48,182.882009582779,-0.0011699635633213318,0.00204372393339334,-0.0010775435364536454,0.0,0.0,0.011352934205220521,0.0,0.0,0.0,-92.8026554073659,21.60531081473181,233.78937837053638,0.020175509125292673,0.014871340129284982,0.021293852456624844
69667827,-0.003188663,-0.007588153,-0.001148007,-1.857151,-0.5982519,-9.485555,93537.12158578899,38.82,3.5680345591364517,-10.933039983101013,183.34851613103214,3.95,-12.478009499050096,182.88,-0.006926164131064825,-0.00012166320045596817,0.0007299298540902136,0.0,0.0,0.008769447527173098,0.0,0.0,0.0,-92.79727810887564,22.608165673373065,233.20272189112436,0.05055266458666613,0.031515126036274196,0.054572826008278674
69667827,-0.000808558,-0.00294504,0.0007077836,-2.008335,-0.6746837,-9.49533,93537.12158578899,38.82,3.5680345591364517,-10.933039983101013,183.34851613103214,3.95,-12.478009499050096,182.88,-0.006926164131064825,-0.00012166320045596817,0.0007299298540902136,0.0,0.0,0.008769447527173098,0.0,0.0,0.0,-92.79727810887564,22.608165673373065,233.20272189112436,0.05055266458666613,0.031515126036274196,0.054572826008278674
69707633,-0.003415738,-0.008107331,-0.001641952,-1.856151,-0.5999448,-9.481066,93537.02605807593,38.82,3.5671807716637,-10.931634915605065,183.3471628082315,3.95,-12.474029297070294,182.88,-0.003295444609573329,0.0014340356979571428,-0.0004942446537142401,0.0,0.0,0.010077816578979472,0.0,0.0,0.0,-92.39923403063878,23.802297908083677,233.60076596936122,0.03135397081546952,0.01960390568557031,0.0319985678356263
69707633,-0.001499647,-0.0007943485,0.0006824858,-1.993482,-0.659095,-9.473019,93537.02605807593,38.82,3.5671807716637,-10.931634915605065,183.3471628082315,3.95,-12.474029297070294,182.88,-0.003295444609573329,0.0014340356979571428,-0.0004942446537142401,0.0,0.0,0.010077816578979472,0.0,0.0,0.0,-92.39923403063878,23.802297908083677,233.60076596936122,0.03135397081546952,0.01960390568557031,0.0319985678356263
69748023,-0.002852269,-0.007788443,-0.001092808,-1.857689,-0.6009798,-9.48208,93536.93217784754,38.82,3.56631931650101,-10.930220884446934,183.3458009149451,3.95,-12.47,182.88,-0.008890750371786436,-0.000742231712801256,0.0015472422591751834,0.0,0.0,0.007932194738084762,0.0,0.0,0.0,-92.00464958153766,24.986051255387014,234.0,0.05955114244044346,0.0374585008951625,0.0625505112260999
69748023,-0.002446746,0.0003382922,-0.001870133,-1.996559,-0.6641518,-9.455857,93536.93217784754,38.82,3.56631931650101,-10.930220884446934,183.3458009149451,3.95,-12.47,182.88,-0.008890750371786436,-0.000742231712801256,0.0015472422591751834,0.0,0.0,0.007932194738084762,0.0,0.0,0.0,-92.00464958153766,24.986051255387014,234.0,0.05955114244044346,0.0374585008951625,0.0625505112260999
