TimeUS,GPS_Lat,GPS_Lng,GPS_Alt,GPS_Spd,IMU_GyrX,IMU_GyrY,IMU_GyrZ,IMU_AccX,IMU_AccY,IMU_AccZ,BARO_Press,BARO_Temp,ATT_Roll,ATT_Pitch,ATT_Yaw,AHR2_Roll,AHR2_Pitch,AHR2_Yaw,XKF1_VN,XKF1_VE,XKF1_VD,XKF1_PN,XKF1_PE,XKF1_PD,XKF3_IVN,XKF3_IVE,XKF3_IVD,MAG_MagX,MAG_MagY,MAG_MagZ,VIBE_VibeX,VIBE_VibeY,VIBE_VibeZ
59727578,15.3693607,75.1238015,671.04,0.153,0.0008549881,-0.001063371,-0.0002697555,0.507971,1.074897,-9.824443,93565.48,53.34,-6.307074,2.81992,191.0816,-6.16,2.87,191.02,-0.05711388,-0.01167512,-0.01051704,0.0,0.0,-0.007546493,0.0,0.0,0.0,-483.0,73.0,148.0,0.007924064,0.007369338,0.008260505
59727578,15.3693607,75.1238015,671.04,0.153,0.001502011,0.0005412616,-0.001183209,0.5182431,1.165367,-9.826458,93565.48,53.34,-6.307074,2.81992,191.0816,-6.16,2.87,191.02,-0.05711388,-0.01167512,-0.01051704,0.0,0.0,-0.007546493,0.0,0.0,0.0,-483.0,73.0,148.0,0.007924064,0.007369338,0.008260505
59768029,15.3693607,75.1238015,671.04,0.153,-0.0007142043,-0.001678517,-0.001125659,0.527498,1.137598,-9.820597,93565.48221159713,53.340040210856934,-6.307077449526593,2.8199162048962108,191.0815741857998,-6.160067920376113,2.869893267980394,191.01999029708912,-0.007112049372967622,0.014215448749275043,-0.013378798017418954,0.0,0.0,-0.007621400516968981,0.0,0.0,0.0,-396.4402621441793,167.58669268097452,116.05840212116664,0.06288483748272965,0.052471768816583136,0.0791189455558023
59768029,15.3693607,75.1238015,671.04,0.153,0.0006178448,-0.0006697405,-0.0003997765,0.5039153,1.077905,-9.832341,93565.48221159713,53.340040210856934,-6.307077449526593,2.8199162048962108,191.0815741857998,-6.160067920376113,2.869893267980394,191.01999029708912,-0.007112049372967622,0.014215448749275043,-0.013378798017418954,0.0,0.0,-0.007621400516968981,0.0,0.0,0.0,-396.4402621441793,167.58669268097452,116.05840212116664,0.06288483748272965,0.052471768816583136,0.0791189455558023
59808550,15.3693607,75.1238015,671.04,0.153,-0.0004933844,-0.00372685,0.000125271,0.5284775,1.155053,-9.801926,93565.70513728706,53.34409340521941,-6.307749460425966,2.8191768712392657,191.07654525692095,-6.188441132339702,2.8253067920376114,191.01593698109434,-0.028562825688858668,0.0034105240587564752,-0.012270367995120292,0.0,0.0,-0.009915756376417416,0.0,0.0,0.0,-436.1726949822402,130.28685777177446,121.32903096703187,0.040963286969840654,0.034159374796987066,0.050622748994928427
59808550,15.3693607,75.1238015,671.04,0.153,5.411132e-05,-0.0001821726,-0.000256137,0.5066128,1.07751,-9.827235,93565.70513728706,53.34409340521941,-6.307749460425966,2.8191768712392657,191.07654525692095,-6.188441132339702,2.8253067920376114,191.01593698109434,-0.028562825688858668,0.0034105240587564752,-0.012270367995120292,0.0,0.0,-0.009915756376417416,0.0,0.0,0.0,-436.1726949822402,130.28685777177446,121.32903096703187,0.040963286969840654,0.034159374796987066,0.050622748994928427
59847587,15.3693607,75.1238015,671.04,0.153,0.0002444884,-0.0002831162,-0.0002380953,0.5136893,1.073534,-9.825355,93565.91989877267,53.34799815950307,-6.30839686027984,2.8184646141882017,191.0717005024321,-6.215775232569771,2.7823532059617886,191.01203210963288,-0.04922801053235806,-0.006998692030278182,-0.011202531989580626,0.0,0.0,-0.012126086074235546,0.0,0.0,0.0,-474.45000750412726,94.35305417979889,126.40663364850667,0.01984456908598666,0.016517635320099228,0.023170168230711517
59847587,15.3693607,75.1238015,671.04,0.153,-0.001643992,-0.002526944,-0.002050374,0.5281143,1.149835,-9.816107,93565.91989877267,53.34799815950307,-6.30839686027984,2.8184646141882017,191.0717005024321,-6.215775232569771,2.7823532059617886,191.01203210963288,-0.04922801053235806,-0.006998692030278182,-0.011202531989580626,0.0,0.0,-0.012126086074235546,0.0,0.0,0.0,-474.45000750412726,94.35305417979889,126.40663364850667,0.01984456908598666,0.016517635320099228,0.023170168230711517
59887571,15.3693607,75.1238015,671.04,0.153,0.0003195599,-0.0006178364,-0.0002710089,0.5040565,1.075111,-9.82498,93566.21159808546,53.35,-6.30879522946003,2.817692592288704,191.06697972236935,-6.220167859713669,2.761966428057266,191.00606714388547,-0.01780926151410282,0.009741054894678934,-0.013217476910582117,0.0,0.0,-0.014284427621124224,0.0,0.0,0.0,-412.4323497661029,148.9646755427612,123.61227060093559,0.052383687479654155,0.04381821428497176,0.05962065195476036
59887571,15.3693607,75.1238015,671.04,0.153,0.001479488,0.004981285,-0.001639529,0.54592,1.153608,-9.783852,93566.21159808546,53.35,-6.30879522946003,2.817692592288704,191.06697972236935,-6.220167859713669,2.761966428057266,191.00606714388547,-0.01780926151410282,0.009741054894678934,-0.013217476910582117,0.0,0.0,-0.014284427621124224,0.0,0.0,0.0,-412.4323497661029,148.9646755427612,123.61227060093559,0.052383687479654155,0.04381821428497176,0.05962065195476036
